"Comment","Designator","Footprint","LCSC Part #"
"10p","C1","C_0402_1005Metric","C1546"
"4u7","C3","C_0402_1005Metric","C23733"
"10pF","C4","C_0402_1005Metric","C1546"
"100n","C8,C5,C6,C7,C2,C14,C15","C_0402_1005Metric","C1525"
"10n","C10","C_0402_1005Metric","C15195"
"1u","C11,C12,C13,C9","C_0402_1005Metric","C52923"
"RED","D1","C_0603_1608Metric","C72044"
"WHITE","D2","C_0603_1608Metric","C83955"
"GREEN","D3","C_0603_1608Metric","C72042"
"500mA","F1","R_0805","C261942"
"XUNPU TYPEC-304S-ACP16","J3","TYPEC-304S-ACP16","C720630"
"10k","R7,R2,R3,R8,R1","R_0402_1005Metric","C25744"
"100","R9,R10,R6,R4,R5,R14,R15,R16,R17,R18","R_0402_1005Metric","C25076"
"1.5k","R11","R_0402_1005Metric","C25867"
"5k1","R13,R12","R_0402_1005Metric","C25905"
"SW_MEC_5E","S1","TS-1187A-B-A-B","C318884"
"STM32F302C8T6","U1","LQFP-48_7x7mm_P0.5mm","C90795"
"MCP1700","U2","SOT-23","C39051"
"MIC2005A-1YM5","U3","SOT-23-5","C81399"
"STF202","U4","TSOP-6_1.65x3.05mm_P0.95mm","C233431"
"SN65HVD234DR","U5","SOIC-8_3.9x4.9mm_P1.27mm","C99818"
"16MHz 10ppm","X1","Crystal_SMD_TXC_7M-4Pin_3.2x2.5mm","C13738"
