Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,Picoblade,Molex_PicoBlade_53261-0771_1x07-1MP_P1.25mm_Horizontal,-69.500000,-60.250000,180.000000,bottom
J2,Picoblade,Molex_PicoBlade_53261-0471_1x04-1MP_P1.25mm_Horizontal,-69.500000,-39.750000,0.000000,bottom
J4,Picoblade,Molex_PicoBlade_53261-0471_1x04-1MP_P1.25mm_Horizontal,-87.000000,-43.500000,270.000000,bottom
J5,Picoblade,Molex_PicoBlade_53261-0471_1x04-1MP_P1.25mm_Horizontal,-87.000000,-56.500000,270.000000,bottom
J8,Picoblade,Molex_PicoBlade_53261-0771_1x07-1MP_P1.25mm_Horizontal,-55.500000,-39.750000,0.000000,bottom
C1,10p,C_0402_1005Metric,73.100000,-55.980000,90.000000,top
C2,100n,C_0402_1005Metric,58.450000,-57.350000,0.000000,top
C3,4u7,C_0402_1005Metric,62.120000,-42.050000,180.000000,top
C4,10pF,C_0402_1005Metric,75.000000,-52.750000,180.000000,top
C5,100n,C_0402_1005Metric,62.120000,-43.050000,180.000000,top
C6,100n,C_0402_1005Metric,59.100000,-52.380000,90.000000,top
C7,100n,C_0402_1005Metric,68.680000,-54.900000,0.000000,top
C8,100n,C_0402_1005Metric,73.700000,-61.100000,180.000000,top
C9,1u,C_0402_1005Metric,72.600000,-47.800000,0.000000,top
C10,10n,C_0402_1005Metric,72.600000,-46.700000,0.000000,top
C11,1u,C_0402_1005Metric,53.650000,-43.100000,180.000000,top
C12,1u,C_0402_1005Metric,47.280000,-39.200000,0.000000,top
C13,1u,C_0402_1005Metric,50.700000,-38.750000,270.000000,top
C14,100n,C_0402_1005Metric,56.380000,-52.500000,0.000000,top
C15,100n,C_0402_1005Metric,75.000000,-46.100000,270.000000,top
D1,RED,C_0603_1608Metric,65.200000,-59.200000,180.000000,top
D2,WHITE,C_0603_1608Metric,65.200000,-60.800000,180.000000,top
D3,GREEN,C_0603_1608Metric,65.225000,-62.400000,180.000000,top
F1,500mA,R_0805,56.600000,-45.200000,270.000000,top
J3,XUNPU TYPEC-304S-ACP16,TYPEC-304S-ACP16,48.860000,-50.000000,180.000000,top
R1,10k,R_0402_1005Metric,58.450000,-58.550000,180.000000,top
R2,10k,R_0402_1005Metric,73.700000,-62.400000,180.000000,top
R3,10k,R_0402_1005Metric,71.490000,-62.400000,180.000000,top
R4,100,R_0402_1005Metric,62.590000,-59.200000,0.000000,top
R5,100,R_0402_1005Metric,62.600000,-60.800000,0.000000,top
R6,100,R_0402_1005Metric,62.600000,-62.400000,0.000000,top
R7,10k,R_0402_1005Metric,65.700000,-42.050000,180.000000,top
R8,10k,R_0402_1005Metric,70.350000,-44.500000,90.000000,top
R9,100,R_0402_1005Metric,66.950000,-55.500000,270.000000,top
R10,100,R_0402_1005Metric,65.850000,-55.500000,270.000000,top
R11,1.5k,R_0402_1005Metric,58.000000,-53.000000,270.000000,top
R12,5k1,R_0402_1005Metric,56.500000,-47.400000,0.000000,top
R13,5k1,R_0402_1005Metric,56.400000,-53.500000,0.000000,top
R14,100,R_0402_1005Metric,61.800000,-39.400000,90.000000,top
R15,100,R_0402_1005Metric,60.800000,-39.400000,90.000000,top
R16,100,R_0402_1005Metric,59.800000,-39.400000,90.000000,top
R17,100,R_0402_1005Metric,67.000000,-39.400000,90.000000,top
R18,100,R_0402_1005Metric,68.000000,-39.400000,90.000000,top
S1,SW_MEC_5E,TS-1187A-B-A-B,50.200000,-59.600000,180.000000,top
U1,STM32F302C8T6,LQFP-48_7x7mm_P0.5mm,65.400000,-49.100000,90.000000,top
U2,MCP1700,SOT-23,47.750000,-41.500000,90.000000,top
U3,MIC2005A-1YM5,SOT-23-5,53.250000,-39.200000,180.000000,top
U4,STF202,TSOP-6_1.65x3.05mm_P0.95mm,56.800000,-49.800000,90.000000,top
U5,SN65HVD234DR,SOIC-8_3.9x4.9mm_P1.27mm,74.400000,-41.300000,0.000000,top
X1,16MHz 10ppm,Crystal_SMD_TXC_7M-4Pin_3.2x2.5mm,75.400000,-55.450000,90.000000,top
